X,Y,Z,Al_%,Si_%,S_%,K_%,Ca_%,Ti_%,V_%,Mn_%,Fe_%,Ni_%,Cu_%,Zn_%,As_%,Y_%,Sr_%,Zr_%,Pb_%,Rb_%,Bi_%,U_%,Co_%
9.6,0,2.439,3.5788,8.6365,0.0591,1.0288,10.2985,0.1741,0.0413,0.9824,1.4998,0.0036,0.0024,0.011,0.0077,0.0119,0.0321,0.0088,0.0222,0.0113,0.0328,0.1848,0.0038
9.8,0,2.439,0,5.1822,0.1155,0.9564,12.0096,0.1441,0.04,0.9992,1.5216,0.0116,0.0026,0.0075,0.0136,0.0373,0.0215,0.0295,0.0268,0.0144,0.027,0.0205,0.0044
0,0.2,2.439,0,4.3025,2.2822,0.9068,12.4818,0.1333,0.027,0.6112,0.8365,0.0026,0,0.0104,0,0.0226,0.0183,0.0297,0.0244,0.0223,0.018,0.1686,0.0064
0.2,0.2,2.439,5.976,4.1428,2.5018,0.7525,12.0898,0.0858,0.0258,0.5125,0.7044,0.0086,0,0.0035,0,0.0229,0.0163,0.0288,0,0,0.015,0.0684,0
0.4,0.2,2.439,5.4827,2.8925,1.6975,0.7983,12.2975,0.0824,0.0242,0.5474,0.7651,0.0053,0,0,0.0091,0.0029,0.0244,0.0367,0.0164,0,0.0216,0.0698,0.0069
0.6,0.2,2.439,0,1.5563,2.0358,0.8883,12.2096,0.1624,0.0375,0.7117,1.038,0.0184,0,0.0112,0,0.026,0.0678,0.0379,0.0082,0,0,0.1282,0.0043
0.8,0.2,2.439,5.9151,4.0864,2.7496,1.0798,11.4017,0.1455,0.0332,0.5174,0.8832,0,0.0037,0.0097,0,0.0163,0.0082,0.0233,0.0084,0.0068,0.0122,0.0671,0
1,0.2,2.439,5.6696,2.6397,2.7384,0.7717,12.0194,0.0969,0.0257,0.5564,0.8696,0.0029,0,0.0064,0.0056,0.0088,0.0215,0.0328,0.017,0.0119,0,0.041,0.0026
1.2,0.2,2.439,8.4796,3.663,2.6284,0.8312,11.5588,0.1012,0.0506,0.6115,0.8265,0.0115,0.0031,0.005,0.0027,0.0126,0.0285,0.0375,0.0154,0.0034,0.0103,0.081,0.0055
1.4,0.2,2.439,11.2828,5.7534,1.9997,1.0024,10.5071,0.0969,0.0269,0.4451,0.7214,0.0012,0,0.0043,0,0.0202,0.013,0.029,0.0065,0.0066,0,0.0944,0.0063
1.6,0.2,2.439,19.7693,8.5319,0.5366,1.1748,10.1472,0.0934,0.0329,0.4662,0.7333,0.0026,0,0.0087,0,0.0077,0.0098,0.0181,0.0285,0.0034,0,0.071,0.0038
1.8,0.2,2.439,0,3.2866,0.8888,1.1069,11.0898,0.1519,0.0426,0.6937,1.1849,0.0105,0,0.0038,0,0.0293,0.0237,0.0439,0.0535,0.0068,0.0173,0.087,0.0072
2,0.2,2.439,0,2.1738,1.0654,0.7996,12.9661,0.1381,0.052,0.7947,0.9491,0.0081,0,0.0111,0,0.0258,0.0072,0.0289,0,0.0196,0,0.0667,0.0055
2.2,0.2,2.439,14.9277,3.7403,0.6709,0.9515,12.0534,0.0909,0.0217,0.4749,0.6148,0.0041,0,0.0132,0,0.0052,0.0062,0.0187,0.0102,0,0.0133,0.068,0.0019
2.4,0.2,2.439,2.5012,5.324,0.1245,0.9363,12.2857,0.1329,0.0272,0.6845,0.8527,0.0084,0.0111,0.0092,0.0076,0.0362,0.0322,0.0102,0,0.0048,0.0493,0.1593,0.003
2.6,0.2,2.439,0.9787,2.8766,0.0497,0.919,12.4393,0.1394,0.0334,0.7762,0.9827,0.0046,0,0.013,0,0.0032,0.0348,0.0353,0.0105,0.0143,0.0346,0.0288,0
2.8,0.2,2.439,7.6686,5.2926,0.0925,1.0355,11.8858,0.101,0.0317,0.6015,0.7649,0.0025,0,0.0138,0,0.0108,0.0243,0.018,0.023,0,0.0085,0.0853,0.0048
3,0.2,2.439,9.015,6.3302,0.0848,1.0146,11.5578,0.1203,0.0168,0.5435,0.6832,0.0091,0,0.0072,0.0044,0.0235,0.0173,0.011,0,0.0141,0.0274,0.0831,0.0032
3.2,0.2,2.439,10.998,6.9344,0,1.105,10.8892,0.1317,0.0399,0.5248,0.7403,0.0067,0,0.0044,0.0083,0.021,0.0316,0.0166,0.0204,0.0091,0,0.0305,0.0003
3.4,0.2,2.439,11.7755,5.1174,0,0.9627,11.7876,0.1005,0.04,0.537,0.6506,0.0031,0,0.0058,0.0042,0.0264,0.0226,0.0196,0,0.0045,0,0.1244,0
3.6,0.2,2.439,7.6165,8.5486,0.4313,0.8403,8.6596,0.1125,0.0277,0.4333,0.6234,0.0013,0.0019,0.0178,0,0.0113,0.0209,0.0126,0.0177,0,0.0283,0.1178,0.0072
3.8,0.2,2.439,13.5431,7.3907,0.0507,1.0113,10.5771,0.1187,0.0352,0.5016,0.7144,0.007,0,0.0084,0,0.0143,0.009,0.02,0.0137,0.0083,0.0156,0.0976,0.0028
4,0.2,2.439,9.7391,3.7892,0.1389,0.9181,11.7228,0.1093,0.034,0.6109,0.6785,0.0027,0,0.0105,0,0.0057,0.0102,0.0158,0.0281,0.0123,0,0.0548,0.0014
4.2,0.2,2.439,6.5948,3.8344,0.1735,1.0344,11.8027,0.1257,0.04,0.6657,0.8159,0.0088,0,0.0091,0,0.0313,0.0248,0.0072,0.0288,0.0058,0.0316,0.1098,0.0021
4.4,0.2,2.439,9.6019,6.4343,0.2321,1.0809,10.8051,0.1001,0.0475,0.5956,0.7427,0.0139,0,0.005,0.0108,0.0079,0.0102,0.0106,0,0.008,0.0343,0.0505,0.0052
4.6,0.2,2.439,11.0322,7.3994,0.1241,1.3281,9.5803,0.1551,0.0786,0.4969,0.916,0.0116,0,0.0065,0,0.0279,0.0225,0.0035,0.0343,0.01,0.0274,0.0851,0.0032
4.8,0.2,2.439,0,5.6285,0.1109,1.2486,10.7991,0.161,0.08,0.6853,1.3188,0.009,0.0037,0.0112,0,0.0331,0.0235,0.023,0.0519,0.015,0.0277,0.0756,0.0066
5,0.2,2.439,2.5258,2.1532,0.0796,1.0413,11.7944,0.1415,0.0782,0.7668,1.0544,0.0062,0,0.0062,0,0,0.0194,0.0083,0.0341,0.0145,0.0502,0.1017,0.0105
5.2,0.2,2.439,3.651,5.0988,0,1.1116,11.2124,0.1578,0.0716,0.6847,0.9475,0,0,0.0037,0,0.0147,0.0125,0.0074,0.0065,0.0028,0,0.1302,0
5.4,0.2,2.439,0,4.3218,0.0524,1.099,11.6673,0.1736,0.0833,0.7861,1.1476,0.0106,0,0.012,0.0063,0.0263,0.058,0.0026,0.0194,0.013,0.0213,0.1181,0.0023
5.6,0.2,2.439,10.0676,4.7358,0.0651,0.9932,12.0111,0.1195,0.0595,0.6264,0.7863,0.0158,0.0069,0.0075,0.0171,0.0061,0.019,0.0232,0,0.0077,0.0221,0.0623,0.0046
5.8,0.2,2.439,15.5692,5.9651,0,0.993,11.3199,0.0985,0.0311,0.5064,0.6315,0,0,0.0036,0.0077,0.0126,0.0086,0.0175,0.0151,0.0033,0.0063,0.0685,0.0023
6,0.2,2.439,2.1818,2.4697,0,0.93,12.2996,0.1521,0.0513,0.7596,0.9672,0.0055,0,0.007,0.0121,0.017,0.0318,0.0383,0.0342,0.0104,0.0305,0.0899,0.005
6.2,0.2,2.439,5.1172,5.1586,0,1.1016,11.429,0.1259,0.052,0.638,0.9674,0.0112,0,0.0045,0.0007,0.0275,0.0168,0.0225,0.0131,0.0066,0.019,0.0704,0.0058
6.4,0.2,2.439,8.0106,4.4095,0.0319,1.0073,11.5508,0.1046,0.0468,0.5748,0.9803,0.0135,0,0.0108,0,0.0118,0.0227,0.0319,0.0067,0.0118,0.0127,0.0385,0
6.6,0.2,2.439,5.0349,1.0942,0.098,1.1325,11.8037,0.1489,0.0519,0.6804,0.8988,0.0022,0,0.0044,0,0.0085,0.0154,0.0168,0,0.0202,0.02,0.0773,0.0031
6.8,0.2,2.439,3.6773,4.2998,0.0648,0.9263,12.8457,0.1361,0.0518,0.7077,0.831,0.002,0,0.0073,0,0.0122,0.0324,0.0162,0.0108,0.0062,0.0124,0.0358,0.0114
7,0.2,2.439,6.4197,4.8016,0.0172,0.9949,11.6963,0.1255,0.0346,0.6107,0.8186,0.0023,0.0033,0.0051,0.0017,0,0.0196,0.0018,0.0112,0.0137,0.0178,0,0.0029
7.2,0.2,2.439,2.2559,3.416,0.0806,1.0403,12.737,0.1489,0.0401,0.7206,0.9437,0.0108,0,0.0071,0.0081,0.0351,0.0248,0.0095,0.0251,0.0031,0.0239,0.1499,0.0057
7.4,0.2,2.439,18.3027,6.5148,0.1372,0.9577,11.2579,0.1091,0.0429,0.4631,0.6089,0.0069,0,0.0069,0,0.0147,0.0223,0.0101,0.0237,0.0054,0,0.0466,0.0037
7.6,0.2,2.439,9.8141,4.1863,0.0902,0.9839,11.9045,0.1011,0.0378,0.5635,0.7157,0.0025,0,0,0,0.0123,0.0126,0.0065,0.0234,0,0.0103,0.0721,0.0027
7.8,0.2,2.439,7.4502,3.2197,0.2962,0.9122,12.3141,0.1076,0.065,0.6207,0.7741,0.0073,0,0,0.015,0.0177,0.0551,0.0147,0,0.0031,0,0.0358,0.0071
8,0.2,2.439,12.4107,4.5017,0,0.8234,12.4559,0.1174,0.0216,0.5658,0.6348,0.0057,0.0072,0.0072,0,0.0069,0.007,0.0304,0.0217,0,0,0.057,0.0061
