X,Y_c,Z,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Y,Sr,Zr,Pb,Rb,Bi,U,Co,La,Ce,maxElement,minElement,maxValue,minValue
7.199,7.599,0,3.5463,11.1012,0.0,2.3705,19.9735,0.2937,0.1246,1.0647,1.8418,0.0142,0.0,0.0284,0.0172,0.0592,0.0458,0.0361,0.0406,0.0401,0.0726,0.2534,0.0122,0.0,0.0121,Ca,S,19.9735,0.0
7.299,7.599,0,14.0117,7.0055,0.0,2.5233,18.7773,0.2798,0.1062,0.8941,1.6961,0.0199,0.0,0.0105,0.0193,0.0396,0.1009,0.0381,0.0,0.0217,0.0,0.4384,0.0126,0.0,0.0023,Ca,S,18.7773,0.0
7.399,7.599,0,13.0169,8.3014,0.0,2.609,18.7315,0.2711,0.0964,0.9504,1.6575,0.0215,0.0,0.0331,0.0,0.0383,0.0,0.0587,0.0495,0.0,0.0237,0.3077,0.0069,0.0,0.0058,Ca,S,18.7315,0.0
7.499,7.599,0,22.0381,6.9863,0.0,2.4675,18.2052,0.2776,0.1073,0.7891,1.6029,0.0084,0.0,0.0153,0.0278,0.0714,0.0688,0.0833,0.0,0.0141,0.0357,0.3216,0.007,0.0,0.0,Al,S,22.0381,0.0
7.599,7.599,0,0.0,14.6143,0.0,2.5827,18.778,0.3035,0.0924,0.9689,2.1475,0.0115,0.0062,0.0084,0.0,0.0313,0.0587,0.1602,0.1686,0.0555,0.1082,0.5053,0.0237,0.0,0.0244,Ca,Al,18.778,0.0
7.699,7.599,0,33.1254,9.8312,0.0,2.0541,18.5695,0.2513,0.0461,0.6901,1.3036,0.012,0.0,0.023,0.0,0.0998,0.0736,0.1182,0.0,0.0088,0.0,0.1248,0.0075,0.0131,0.0019,Al,S,33.1254,0.0
7.799,7.599,0,7.5407,6.4887,0.0,2.0774,20.2259,0.3619,0.1057,1.0262,1.7924,0.0,0.0,0.0152,0.0048,0.0037,0.0635,0.0711,0.0,0.0749,0.019,0.0,0.0168,0.0,0.0018,Ca,S,20.2259,0.0
7.899,7.599,0,17.6503,11.6074,0.0,2.0706,21.1504,0.3121,0.0672,0.877,1.596,0.0323,0.0,0.0471,0.0703,0.1364,0.0884,0.0714,0.0,0.0,0.0466,0.1025,0.0201,0.0,0.0,Ca,S,21.1504,0.0
0.0,7.699,0,15.7444,3.6428,0.0,1.8635,18.8454,0.1775,0.0521,0.9359,1.6263,0.011,0.0,0.0286,0.0519,0.0,0.0655,0.1394,0.0,0.0077,0.0,0.1591,0.005,0.0,0.0051,Ca,S,18.8454,0.0
0.1,7.699,0,10.6147,2.0462,0.0,2.1005,19.4156,0.2367,0.0467,1.0563,1.7128,0.0,0.0,0.0182,0.0,0.1558,0.0431,0.1403,0.035,0.0108,0.0222,0.2794,0.0065,0.0,0.0,Ca,S,19.4156,0.0
0.2,7.699,0,0.0,10.6325,0.0,2.0576,19.2571,0.3245,0.0509,1.0718,1.8951,0.0174,0.0,0.0,0.0165,0.0185,0.0377,0.0629,0.0,0.0146,0.0,0.1584,0.0215,0.0005,0.0,Ca,Al,19.2571,0.0
0.3,7.699,0,8.6674,8.5584,0.0,2.1473,18.7846,0.2794,0.0322,0.9775,1.5941,0.0,0.0,0.0168,0.0409,0.0121,0.0238,0.0701,0.0372,0.0318,0.0,0.1682,0.0145,0.0,0.0059,Ca,S,18.7846,0.0
0.4,7.699,0,32.8298,0.0,0.0,2.046,17.2778,0.2362,0.0284,0.7567,1.3139,0.0057,0.0022,0.0,0.0,0.0202,0.077,0.0304,0.0703,0.0423,0.0265,0.1169,0.0121,0.0,0.0036,Al,Si,32.8298,0.0
0.5,7.699,0,21.0481,0.0,0.0,2.2046,17.8735,0.2486,0.0613,0.8654,1.6588,0.0257,0.0,0.0161,0.0,0.0324,0.0247,0.0928,0.0374,0.0178,0.0,0.2728,0.0067,0.0615,0.0,Al,Si,21.0481,0.0
0.6,7.699,0,24.2265,0.0,0.0,2.0882,17.1973,0.2213,0.046,0.913,1.5333,0.0,0.0,0.0,0.0157,0.0141,0.1037,0.0474,0.0,0.0089,0.0,0.0,0.0064,0.0308,0.0097,Al,Si,24.2265,0.0
0.7,7.699,0,3.7285,8.1648,0.0,2.4639,18.3899,0.3079,0.0625,1.1232,1.9064,0.0,0.0,0.0529,0.0,0.1568,0.0208,0.11,0.0,0.0156,0.0,0.4535,0.001,0.0,0.0,Ca,S,18.3899,0.0
0.8,7.699,0,23.4621,3.8679,0.0287,2.2433,17.7047,0.2082,0.0473,0.9121,1.4874,0.0148,0.0141,0.0107,0.0,0.0176,0.0382,0.1342,0.0272,0.0462,0.0,0.205,0.0117,0.0,0.0,Al,As,23.4621,0.0
